"X_location","Y_location","Z_location","velocity","beam_number"
81157.500000,24759.900000,9.900000,1539.900122,1
81158.617188,24759.315239,6.915552,1539.900122,1
81159.734375,24759.230469,17.931109,1539.900122,1
81169.851562,24759.345703,18.946656,1539.900122,1
81161.968750,24759.460938,24.962206,1539.900000,1
81163.985938,24759.576172,39.977759,1539.900000,1
81164.203125,24759.691406,36.993314,1529.999878,1
81160.320312,24759.806644,47.308869,1539.900249,1
81166.437500,24759.921875,48.324416,1539.900249,1
81167.554688,24751.937109,54.339969,1539.900000,1
81168.671875,24751.352349,69.355524,1539.900122,1
81169.789062,24751.267578,66.371079,1539.900000,1
81179.906250,24751.382812,77.386623,1539.900122,1
81177.923438,24751.498047,78.202179,1539.900249,1
81173.340625,24751.613284,84.217728,1529.999878,1
81174.257812,24751.728516,99.233276,1539.900000,1
81170.375000,24751.843750,96.248825,1539.900000,1
81176.492188,24751.958989,107.264379,1539.900122,1
81177.609375,24757.974219,108.280075,1539.328540,1
81178.726562,24757.389453,114.295792,1529.933472,1
81179.843750,24757.304688,129.309792,1528.955322,1
81189.960938,24757.419922,126.321129,1528.314209,1
81187.978125,24757.535156,137.330292,1527.769165,1
81183.395312,24757.650394,138.337326,1527.205322,1
81184.312500,24757.765625,144.342209,1526.627808,1
81180.429688,24757.880859,159.344849,1526.914893,1
81186.546875,24757.996099,156.345215,1520.456424,1
81187.664062,24753.311328,167.343399,1524.833618,1
81188.773438,24753.226562,168.338928,1523.935547,1
81189.882812,24753.341797,174.331238,1523.920386,1
81199.992188,24753.457034,189.320379,1527.229009,1
81197.301562,24753.572266,186.306259,1521.282474,1
81193.210938,24753.687500,197.288549,1529.285645,1
81194.320312,24753.802739,198.267166,1519.350220,1
81190.421875,24753.916016,204.242157,1518.362915,1
81196.523438,24754.929297,219.213257,1517.251587,1
81197.625000,24754.342578,216.380283,1516.348560,1
81198.726562,24754.255859,227.343219,1510.308276,1
81199.828125,24754.369144,228.302417,1514.285039,1
81209.921875,24754.482422,234.958365,1513.482300,1
81207.915625,24754.595703,249.911032,1517.585205,1
81203.309375,24754.708989,240.960449,1511.790527,1
81204.203125,24754.822266,251.906860,1511.934429,1
81200.296875,24754.935547,257.850314,1519.222290,1
81206.390625,24750.948828,263.790774,1509.480713,1
81207.484375,24750.362109,269.728638,1508.924072,1
81208.570312,24750.275394,270.664185,1508.344116,1
81209.656250,24750.388672,281.597354,1507.697388,1
81219.742188,24750.501953,287.528137,1507.942603,1
81211.828125,24750.615239,293.456424,1506.382690,1
81217.914062,24750.726562,299.382202,1500.717285,1
81214.900000,24750.837894,300.305542,1500.303274,1
81210.985938,24750.949219,311.226685,1504.590459,1
81216.371875,24756.960547,317.345694,1504.919897,1
81217.257812,24756.371875,323.962534,1503.463745,1
81218.335938,24756.283203,328.977325,1507.963504,1
81219.414062,24756.394534,334.890167,1507.460815,1
81229.492188,24756.505859,349.801025,1501.932129,1
81221.570312,24756.617188,346.709964,1501.450317,1
81227.648438,24756.728516,357.617065,1509.979858,1
81223.726562,24756.839849,358.522339,1509.492559,1
81224.804688,24756.951172,364.425784,1509.919287,1
81220.882812,24757.962500,379.327459,1499.577274,1
81226.960938,24757.373828,376.227417,1499.323535,1
81228.939062,24757.285156,387.325644,1498.668335,1
81229.317188,24757.396489,388.922156,1498.217285,1
81239.387500,24757.507812,393.916934,1497.765869,1
81231.257812,24757.619144,399.809998,1497.315430,1
81237.328125,24757.730469,400.701355,1496.860718,1
81233.398438,24757.841797,411.590973,1496.398809,1
81234.468750,24757.953125,417.478824,1490.932007,1
81230.539062,24758.964453,423.364929,1490.485479,1
81236.609375,24758.375784,429.249420,1490.994849,1
81237.679688,24758.287109,430.332355,1494.700562,1
81238.750000,24758.398438,441.913702,1494.268433,1
81239.820312,24758.509766,446.893585,1493.978760,1
81249.890625,24758.621099,457.772339,1493.723514,1
81241.960938,24758.730469,458.650029,1493.430669,1
81243.931250,24758.839849,464.526614,1493.331226,1
81244.301562,24758.949219,479.402008,1497.807254,1
81240.364062,24759.958599,476.276215,1497.486938,1
81246.226562,24759.367969,487.349234,1497.377129,1
81247.289062,24759.277349,488.921088,1491.902466,1
81248.351562,24759.386719,493.891876,1491.631109,1
81249.414062,24759.496099,499.761597,1491.338623,1
81259.476562,24759.605469,500.630249,1491.978979,1
81251.539062,24759.714849,511.497986,1499.872803,1
81257.601562,24759.824219,517.364807,1499.622192,1
81253.664062,24759.933599,523.230779,1499.403809,1
81254.726562,24769.942969,529.996008,1499.286014,1
81250.789062,24769.352349,534.960693,1499.361499,1
81256.851562,24769.261719,549.824829,1489.996216,1
81257.914062,24769.371099,546.688359,1489.867188,1
81258.976562,24769.480469,557.551392,1489.744263,1
81269.939062,24769.589849,558.413940,1489.609375,1
81261.301562,24769.699219,564.276004,1489.488403,1
81267.364062,24769.808599,579.337639,1489.399658,1
81263.226562,24769.917969,570.998904,1489.293823,1
81264.289062,24761.927349,581.859802,1489.394336,1
81260.351562,24761.336719,587.720337,1489.337454,1
81266.414062,24761.246099,593.580627,1489.985815,1
81267.476562,24761.355469,599.440679,1489.915747,1
81268.539062,24761.464849,600.300476,1488.958008,1
81269.601562,24761.574219,611.360095,1488.918457,1
81279.664062,24761.683599,617.919534,1488.873294,1
81271.726562,24761.792969,627.878789,1488.821655,1
81277.789062,24761.902349,628.737859,1488.752444,1
81273.851562,24767.911719,634.596619,1488.683105,1
81274.914062,24767.321099,649.455139,1488.618652,1
81270.976562,24767.230469,646.313416,1488.563599,1
81277.939062,24767.339849,657.371509,1488.512207,1
81278.301562,24767.449219,658.929419,1488.454102,1
81279.364062,24767.558599,663.887085,1488.403934,1
81289.226562,24767.667969,669.744568,1488.375249,1
81281.289062,24767.777349,670.601929,1488.342896,1
81287.351562,24767.886719,681.459167,1488.303714,1
81283.414062,24767.996099,687.316289,1488.262817,1
81284.476562,24763.305469,693.373218,1488.221680,1
81280.539062,24763.214849,699.930029,1488.382007,1
81286.601562,24763.324219,704.886658,1488.340869,1
81287.664062,24763.433599,719.743103,1488.996558,1
81288.726562,24763.542969,716.599426,1488.949683,1
81289.789062,24763.652349,727.455566,1488.909033,1
81299.851562,24763.761719,728.311589,1487.987064,1
81291.914062,24763.871099,734.367480,1487.965942,1
81297.976562,24763.980469,749.923259,1487.935059,1
81294.939062,24764.989849,740.878967,1487.921024,1
81290.301562,24764.399219,751.734619,1487.914185,1
81296.364062,24764.308599,757.590210,1487.902222,1
81297.226562,24764.417969,763.445804,1487.891357,1
81298.289062,24764.527349,769.301334,1487.884888,1
81299.351562,24764.636719,770.356860,1487.877686,1
81309.414062,24764.746099,781.912329,1487.867798,1
81301.476562,24764.855469,786.867798,1487.868652,1
81307.539062,24764.964849,797.723267,1487.871460,1
81303.601562,24760.974219,798.578735,1487.872437,1
81304.664062,24760.383599,804.434209,1487.870239,1
81300.726562,24760.292969,819.289612,1487.859619,1
81306.789062,24760.402349,816.345020,1487.849487,1
81307.851562,24760.511719,827.900366,1487.842896,1
81308.914062,24760.621099,827.855713,1487.852173,1
81309.976562,24760.730469,833.711124,1487.864258,1
81311.939062,24760.839849,839.566528,1487.871709,1
81317.301562,24760.949219,840.421997,1487.875610,1
81313.364062,24766.958599,851.277466,1487.869507,1
81314.226562,24766.367969,857.332935,1487.868530,1
81310.289062,24766.277349,867.988342,1487.866824,1
81316.351562,24766.386719,868.843750,1487.859375,1
81317.414062,24766.496099,874.699158,1487.852054,1
81318.476562,24766.605469,889.554509,1487.844482,1
81319.539062,24766.714849,886.409854,1487.845584,1
81329.601562,24766.824219,897.265198,1487.850586,1
81321.664062,24766.933599,898.320549,1487.853274,1
81327.726562,24767.942969,903.975894,1487.854492,1
81323.789062,24767.352349,909.831238,1487.851318,1
81324.851562,24767.261719,910.686589,1487.848999,1
81320.914062,24767.371099,921.541934,1487.848145,1
81326.976562,24767.480469,927.397278,1487.848755,1
81328.939062,24767.589849,933.252625,1487.849243,1
81329.301562,24767.699219,939.307974,1487.850220,1
81339.364062,24767.808599,944.963318,1487.850220,1
81331.226562,24767.917969,959.818665,1487.848633,1
81337.289062,24768.927349,956.674014,1487.848877,1
81333.351562,24768.336719,967.529358,1487.847778,1
81334.414062,24768.246099,968.384705,1487.840088,1
81330.476562,24768.355469,974.239990,1487.833008,1
81336.539062,24768.464849,989.995215,1487.816772,1
81337.601562,24768.574219,980.950500,1487.862793,1
81338.664062,24768.683599,991.805969,1487.936035,1
81339.726562,24768.792969,997.661682,1488.930889,1
81349.789062,24768.902349,1003.517639,1488.937720,1
81341.851562,24769.911719,1009.373352,1487.808716,1
81347.914062,24769.321099,1010.228399,1487.604009,1
81343.976562,24769.230469,1021.982703,1487.427129,1
81340.939062,24769.339849,1026.936890,1487.744263,1
81346.301562,24769.449219,1037.792236,1488.386279,1
81347.364062,24769.558599,1038.649048,1488.633789,1
81348.226562,24769.667969,1044.506958,1488.640384,1
81349.289062,24769.777349,1059.363647,1487.658325,1
81359.351562,24769.886719,1056.217773,1486.779297,1
81351.406250,24769.996099,1067.969336,1486.387695,1
81357.460938,24779.305469,1067.921143,1487.658325,1
81353.523438,24779.214849,1073.776733,1489.999609,1
81354.585938,24779.324219,1079.637329,1499.469727,1
81350.648438,24779.433599,1080.500732,1499.971777,1
81356.710938,24779.542969,1091.358159,1486.331543,1
81357.765625,24779.652349,1097.205688,1487.519409,1
81358.820312,24779.761719,1103.943945,1487.332275,1
81359.875000,24779.871099,1108.893314,1497.759649,1
81369.937500,24779.980469,1114.772949,1507.890384,1
81367.915625,24771.991797,1129.678223,1507.857178,1
81363.301562,24771.205078,1126.616089,1521.878789,1
81364.210938,24771.320312,1137.606812,1538.674927,1
81360.343750,24771.437500,1138.656616,1554.788452,1
81366.500000,24771.556644,1144.760986,1566.320190,1
81367.671875,24771.677739,1159.894653,1566.632080,1
81368.851562,24771.798828,1157.945410,1571.504028,1
81379.939062,24771.921875,1163.217044,1577.990210,1
81371.234375,24777.944922,1169.409668,1587.583740,1
81377.437500,24777.367969,1170.623047,1588.977274,1
81373.648438,24777.292969,1181.856812,1593.505127,1
81374.867188,24777.417969,1188.312793,1609.386230,1
81376.301562,24777.544922,1194.394043,1607.501099,1
81377.343750,24777.671875,1209.700439,1613.981567,1
81378.601562,24777.800784,1207.932837,1621.637207,1
81379.867188,24777.931644,1213.393924,1629.670776,1
81381.348438,24773.962500,1219.783813,1637.391040,1
81387.437500,24773.395312,1226.203003,1640.410522,1
81383.742188,24773.330078,1237.654419,1654.789673,1
81380.962500,24773.464849,1239.338550,1663.281128,1
81386.398438,24773.601562,1240.655640,1677.674805,1
81387.750000,24773.740239,1257.209964,1683.922852,1
81389.317188,24773.880859,1258.802979,1694.386279,1
81399.507812,24774.923438,1260.434448,1704.835693,1
81391.914062,24774.367969,1277.306323,1716.437866,1
81393.343750,24774.314453,1278.820190,1728.313724,1
81394.796875,24774.462894,1280.575562,1738.590459,1
81396.265625,24774.613284,1297.363770,1740.967627,1
81397.750000,24774.765625,1299.382864,1754.391729,1
81399.250000,24774.919922,1306.932837,1761.968237,1
81409.765625,24770.974219,1317.899536,1761.885132,1
81407.289062,24770.230469,1319.779907,1766.369873,1
81403.820312,24770.386719,1326.674199,1769.982034,1
81400.351562,24770.542969,1333.573975,1768.567749,1
81406.890625,24770.701172,1349.477417,1769.743652,1
81408.429688,24770.859375,1347.386108,1777.289917,1
81409.976562,24776.917578,1354.304077,1770.415405,1
81411.531250,24776.375784,1361.231079,1777.601807,1
81413.993750,24776.335938,1368.368704,1787.204229,1
81414.664062,24776.496099,1370.322559,1787.425537,1
81416.242188,24776.658203,1387.992654,1791.649902,1
81417.835938,24776.820312,1389.979712,1796.912969,1
81419.437500,24776.984375,1396.985327,1807.284668,1
81421.946875,24777.348438,1403.309134,1807.290405,1
81427.671875,24777.314453,1419.353198,1813.827148,1
81424.312500,24777.482422,1417.219849,1829.941382,1
81420.960938,24777.650394,1424.308599,1826.421509,1
81427.625000,24777.820312,1431.421753,1833.988770,1
81429.304688,24777.992188,1438.560794,1841.325488,1
81431.900000,24778.366016,1440.725469,1848.453735,1
81437.710938,24778.339849,1457.917358,1856.423828,1
81434.437500,24778.515625,1469.336719,1864.914160,1
81436.379688,24778.693359,1467.383914,1877.273682,1
81437.945312,24778.873047,1474.660889,1889.892578,1
81439.726562,24779.954688,1481.968018,1889.260010,1
81441.523438,24779.238284,1489.305176,1897.644043,1
81443.343750,24779.423828,1496.672363,1906.956519,1
81440.379688,24779.611328,1504.969829,1914.546753,1
81447.939062,24779.800784,1511.496460,1927.351807,1
81448.914062,24779.992188,1518.951416,1939.371338,1
81459.804688,24789.385547,1526.435059,1938.469238,1
81457.718750,24789.380859,1533.947388,1946.597412,1
81454.648438,24789.576172,1541.488525,1954.766235,1
81456.601562,24789.773438,1549.958350,1967.892339,1
81458.570312,24789.972656,1556.656860,1971.934668,1
81469.554688,24781.373828,1564.284058,1979.230469,1
