surf_src_x,surf_src_y,surf_src_z,surf_rec_x,surf_rec_y,surf_rec_z,sub_surf_x,sub_surf_y,sub_surf_z
714,1880,7,442,1912,90,777.41,1893.42,119.07
1290,1688,7,1018,1720,90,995.12,1827.02,1411.65
738,2024,7,466,2056,90,800.92,2038.2,1466.99
1314,2024,7,1042,2056,90,1019,1941.53,1586.61
1314,1688,7,1042,1720,90,993.18,1823.68,1599.13
1290,1688,7,1018,1720,90,993.52,1819.72,1670.53
1314,1736,7,1042,1768,90,1020.73,1839.9,1799.2
714,1736,7,442,1768,90,785.06,1753.63,1884.85
1338,1688,7,1066,1720,90,1017.45,1843.06,1933.31
1314,1640,7,1042,1672,90,1008.17,1844.67,1986.17
1314,1688,7,1042,1720,90,1000.67,1824.59,2027.73
714,1976,7,442,2008,90,776,1980.2,2044.1
1338,1976,7,1066,2008,90,1029.98,1937.62,2072.63
1338,1736,7,1066,1768,90,1027.77,1858.95,2073.37
1314,1640,7,1042,1672,90,1002.65,1831.08,2081.71
1338,1688,7,1066,1720,90,1015.69,1828.52,2109.61
1266,2072,7,994,2104,90,998.08,1974.96,2159.08
1338,2024,7,1066,2056,90,1031.6,1924.59,2192.6
1266,1592,7,994,1624,90,973.42,1812.12,2214.41
1314,2072,7,1042,2104,90,1012.02,1954.76,2218.08
1386,1784,7,1114,1816,90,1039.93,1872.81,2234.4
1314,1640,7,1042,1672,90,1005.99,1821.49,2241.1
1314,1688,7,1042,1720,90,1005.29,1809.55,2241.31
1290,1592,7,1018,1624,90,980.37,1810.4,2262.3
1290,2024,7,1018,2056,90,1016.61,1965.22,2267.3
1266,1688,7,994,1720,90,976.69,1814.42,2272.28
1266,1640,7,994,1672,90,978.3,1782.41,2292.41
1290,1640,7,1018,1672,90,984.09,1819.32,2324.96
1290,2072,7,1018,2104,90,1000.23,1973.22,2328.5
786,1976,7,514,2008,90,826,1917.48,2345.91
738,1784,7,466,1816,90,821.86,1843.16,2363.34
1362,1688,7,1090,1720,90,1012.53,1835.67,2410.74
1266,1640,7,994,1672,90,964.22,1825.69,2414.71
1338,2024,7,1066,2056,90,1056.78,1958.57,2477.41
1266,1592,7,994,1624,90,963.8,1798.84,2504.09
1314,2072,7,1042,2104,90,1008.61,1969.29,2529.47
1338,1640,7,1066,1672,90,1008.47,1838.13,2530.94
1290,2072,7,1018,2104,90,1011.71,1982.37,2567.21
738,1928,7,466,1960,90,801.62,1896.37,2592.61
1314,2024,7,1042,2056,90,1029.69,1954.8,2594.12
1410,1880,7,1138,1912,90,1039.72,1905.92,2641.78
738,1928,7,466,1960,90,824.85,1893.83,2647.59
738,2024,7,466,2056,90,833.42,1912.31,2674.26
1338,2072,7,1066,2104,90,1024.78,1961.02,2694.26
1338,1928,7,1066,1960,90,1035.39,1935.2,2703.59
1290,1688,7,1018,1720,90,1008.02,1829.11,2768.89
1338,2024,7,1066,2056,90,1025.56,1944.55,2774.84
738,1736,7,466,1768,90,813.57,1838.83,2841.92
1242,2120,7,970,2152,90,1001.28,1971.07,2854.72
1290,2120,7,1018,2152,90,1005.55,1970.19,2855.38
1266,2072,7,994,2104,90,1012.12,1987.95,2976.7
1314,2072,7,1042,2104,90,1027.19,1985.98,3095.46
1218,1688,7,946,1720,90,1213.25,1754.54,3572.27
